,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
234,movie,Bandage,Bandeiji,0,2010,\N,119,"Drama,Music,Romance"
235,movie,Barry Munday,Barry Munday,0,2010,\N,95,"Comedy,Drama,Romance"
236,movie,Chasing 3000,Chasing 3000,0,2010,\N,115,"Family,Sport"
237,movie,Monkey Man,Monkey Man,0,2011,\N,\N,Comedy
238,movie,A Woman Is a Woman,A Woman Is a Woman,0,2010,\N,102,"Comedy,Drama"
239,movie,Gente mala del norte,Gente mala del norte,0,2011,\N,97,"Drama,History"
240,movie,La daga de Rasputín,La daga de Rasputín,0,2011,\N,99,"Adventure,Comedy"
241,movie,U Want Me 2 Kill Him?,uwantme2killhim?,0,2013,\N,92,"Drama,Thriller"
242,movie,Sushi in Suhl,Sushi in Suhl,0,2012,\N,100,"Comedy,Drama"
243,movie,Red Tails,Red Tails,0,2012,\N,125,"Action,Adventure,Drama"
244,movie,Making Change,Making Change,0,2012,\N,94,Drama
245,tvSeries,NFL Primetime,NFL Primetime,0,2012,\N,60,"News,Sport,Talk-Show"
246,tvSeries,Carnival Row,Carnival Row,0,2019,\N,\N,"Fantasy,Horror,Mystery"
247,movie,Aftermath,Aftermath,0,2013,\N,84,"Crime,Thriller"
248,movie,PrimeMates,PrimeMates,0,2010,\N,82,"Comedy,Drama"
249,movie,Silence,Silence,0,2016,\N,161,"Adventure,Drama,History"
250,movie,The Invited,The Invited,0,2010,\N,95,"Horror,Thriller"
251,movie,Double Tap,Double Tap,0,2011,\N,100,"Action,Crime,Drama"
252,movie,Something Borrowed,Something Borrowed,0,2011,\N,112,"Comedy,Drama,Romance"
253,movie,Suburbicon,Suburbicon,0,2017,\N,105,"Crime,Drama,Mystery"
254,movie,Tulip Fever,Tulip Fever,0,2017,\N,105,"Drama,History,Romance"
255,movie,Furry Vengeance,Furry Vengeance,0,2010,\N,92,"Comedy,Family"
256,movie,Nina,Nina,0,2016,\N,90,"Biography,Drama,Music"
257,tvMovie,"The I Do Diaries: Beg, Borrow & Steal","The I Do Diaries: Beg, Borrow & Steal",0,2010,\N,60,Reality-TV
258,movie,CHIPS,CHIPS,0,2017,\N,100,"Action,Comedy,Crime"
259,movie,Ramona and Beezus,Ramona and Beezus,0,2010,\N,103,"Adventure,Comedy,Family"
260,movie,Good Sharma,Good Sharma,0,2010,\N,100,Drama
261,movie,Bad Blood,Bad Blood,0,2012,\N,107,"Horror,Mystery,Romance"
262,movie,O Inimigo Sem Rosto,O Inimigo Sem Rosto,0,2010,\N,85,"Crime,Drama"
263,movie,Prisoners of the Sun,Prisoners of the Sun,0,2013,\N,85,"Action,Adventure,Horror"
264,videoGame,Darkstar: The Interactive Movie,Darkstar: The Interactive Movie,0,2010,\N,\N,"Action,Adventure,Mystery"
265,tvSeries,Comentário Geral,Comentário Geral,0,2010,\N,\N,News
266,movie,The Hero of Color City,The Hero of Color City,0,2014,\N,77,"Animation,Family"
267,movie,Rings,Rings,0,2017,\N,102,"Drama,Horror,Romance"
268,tvSeries,The Nine Lives of Chloe King,The Nine Lives of Chloe King,0,2011,2011,60,"Action,Adventure,Crime"
269,movie,Tranced,Tranced,0,2010,\N,\N,"Drama,Fantasy,Romance"
270,tvEpisode,Episode dated 28 November 2010,Episode dated 28 November 2010,0,2010,\N,\N,"Drama,Romance"
271,tvEpisode,Sex and Violence,Sex and Violence,0,2016,\N,\N,"Drama,Sci-Fi"
272,tvEpisode,Xô Perereca,Xô Perereca,0,2010,\N,32,Comedy
273,tvEpisode,Death Climb,Death Climb,0,2011,\N,42,"Biography,Documentary,Drama"
274,tvEpisode,The Ego Show,The Ego Show,0,2014,\N,\N,"Comedy,Drama"
275,tvEpisode,Episode #1.16,Episode #1.16,0,2012,\N,\N,"Comedy,News,Talk-Show"
276,movie,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),0,2010,\N,116,"Biography,Documentary,Music"
277,movie,Love & Other Drugs,Love & Other Drugs,0,2010,\N,112,"Comedy,Drama,Romance"
278,movie,Syrup,Syrup,0,2013,\N,90,"Comedy,Drama,Romance"
279,movie,A Thousand Words,A Thousand Words,0,2012,\N,91,"Comedy,Drama"
280,movie,Escape from Planet Earth,Escape from Planet Earth,0,2013,\N,89,"Adventure,Animation,Comedy"
281,movie,Have You Seen Me?,Have You Seen Me?,0,2016,\N,\N,Comedy
282,movie,Horrorween,Horrorween,0,2011,\N,\N,"Comedy,Horror"
283,movie,The Legend of Secret Pass,The Legend of Secret Pass,0,2010,\N,92,"Animation,Family,Fantasy"
284,movie,Waste of Space,Waste of Space,0,2010,\N,78,"Adventure,Comedy,Sci-Fi"
285,tvEpisode,Episode #5.45,Episode #5.45,0,2011,\N,\N,Drama
286,movie,Me and My Umbrella,Eu e Meu Guarda-Chuva,0,2010,\N,78,"Family,Fantasy"
287,movie,Night of the Templar,Night of the Templar,0,2013,\N,101,"Horror,Mystery"
288,movie,What's Your Number?,What's Your Number?,0,2011,\N,106,"Comedy,Romance"
289,movie,California Indian,California Indian,0,2011,\N,90,Drama
290,movie,King of the Avenue,King of the Avenue,0,2010,\N,83,"Drama,Fantasy,Thriller"
291,movie,Samsara,Samsara,0,2011,\N,102,"Documentary,Music"
292,movie,Till You Get to Baraboo,Till You Get to Baraboo,0,2011,\N,80,"Comedy,Romance"
293,movie,Man of Steel,Man of Steel,0,2013,\N,143,"Action,Adventure,Fantasy"
294,movie,Jersey Justice,Jersey Justice,0,2014,\N,100,"Action,Thriller"
295,movie,Kill,Kill,0,2011,\N,90,"Comedy,Horror,Thriller"
296,movie,The Chosen Heaven,El cielo elegido,0,2010,\N,123,"Drama,Thriller"
297,movie,Cell,Cell,0,2016,\N,98,"Action,Drama,Horror"
298,movie,The Rain Fairy,Destová víla,0,2010,\N,100,"Family,Fantasy"
299,movie,The Illusionist,L'illusionniste,0,2010,\N,80,"Animation,Drama"
300,movie,Night Catches Us,Night Catches Us,0,2010,\N,90,"Drama,Romance"
301,movie,Drive,Drive,0,2011,\N,100,"Crime,Drama"
302,tvSeries,The Being Experience: The Prologue,In the Woods,0,2013,\N,100,Mystery
303,movie,Kid Cannabis,Kid Cannabis,0,2014,\N,110,"Biography,Comedy,Crime"
304,movie,Santorini Blue,Santorini Blue,0,2013,\N,90,"Comedy,Drama"
305,movie,War of the Dead,War of the Dead,0,2011,\N,86,"Action,Adventure,Horror"
306,movie,The Wolfman,The Wolfman,0,2010,\N,103,"Drama,Fantasy,Horror"
307,movie,Escalade,Escalade,0,2011,\N,80,Thriller
308,movie,Irreversi,Irreversi,0,2010,\N,\N,Thriller
309,movie,The Last Full Measure,The Last Full Measure,0,2018,\N,\N,"Drama,War"
